Nested Sampling Global Log-Evidence           :   -0.101355703144065160E+04  +/-    0.900663512088991924E-01
Nested Importance Sampling Global Log-Evidence:   -0.101331821009632165E+04  +/-    0.359039209854052799E+00

Dim No.       Mean        Sigma
   1    0.133723500202734297E+00    0.368064141962968962E-02
   2    0.244415500946006725E+01    0.476045038939086965E-01
   3    0.715112823529183572E+02    0.226563267231872256E+00
   4    0.216194248611135564E+00    0.493192841482187547E-01
   5    0.389341932222877940E+00    0.698113375885383858E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.132896433800421293E+00
   2    0.244318889073656376E+01
   3    0.715215865319821376E+02
   4    0.219385468872404982E+00
   5    0.393403536585728908E+00

MAP Parameters
Dim No.        Parameter
   1    0.132896433800421293E+00
   2    0.244318889073656376E+01
   3    0.715215865319821376E+02
   4    0.219385468872404982E+00
   5    0.393403536585728908E+00
